time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
1.8400000000000012,-0.060315423,0.148676167923,13.6045287859,0.0624957731486,6.25478616907,0.0,0.0532652760904,0.390618351301,3.54925497967,0.0562882123496,-0.0116643190848,0.0,439.0273118233532,438.62900755510947,438.167697866703,439.28967334146927
1.8600000000000012,-0.0591734627317,0.156656963683,13.6762454577,0.0636425576708,6.25457049247,0.0,0.0609307507439,0.407461224703,3.62241220107,0.0498043438819,-0.0175989267011,0.0,484.4577596885848,483.1173210762608,486.4046123253758,484.94752303463923
1.8800000000000012,-0.057894967094,0.1649391223,13.7488198422,0.0646402136261,6.25424108734,0.0,0.0669188130251,0.420754636997,3.63502624758,0.0480328599225,-0.0108797893418,0.0,429.86198467642487,431.56691646386827,429.60174283470747,429.1525069659943
1.9000000000000012,-0.056499752581,0.173480887569,13.8215176803,0.0656083051492,6.25404811981,0.0,0.0726026382746,0.433421889926,3.63475755975,0.0441768711761,-0.00386149163991,0.0,417.05279039378917,418.8879964401573,417.4983933064968,416.48936967064463
1.9200000000000013,-0.054971394296,0.182320813132,13.8948634824,0.0665450087426,6.25402469014,0.0,0.0802331902297,0.450570666361,3.69982265056,0.0338651138169,0.00651156637735,0.0,477.9667453984364,480.3326989508108,478.6722044404788,476.31310164437633
1.9400000000000013,-0.0533054394831,0.191471772769,13.9689946668,0.0672567338267,6.25415718537,0.0,0.0863622910527,0.464525297398,3.71329578998,0.0255677880144,0.0086394282058,0.0,431.5876529436958,432.12603268017494,432.16386276120875,430.06098919519576
1.9600000000000013,-0.0515232111586,0.20088933817,14.0431879706,0.0678330065007,6.25434075615,0.0,0.0918605414056,0.477231242615,3.70603458875,0.0369622527843,0.00399567604654,0.0,412.023629049654,410.7899195306395,409.2253618956452,412.2573418679054
1.9800000000000013,-0.0496283623831,0.210569142525,14.1173397946,0.068577863576,6.25444406278,0.0,0.0976243361389,0.4907491929,3.70914781027,0.0403124825292,0.0108357215552,0.0,421.2881832695483,423.0587886334093,420.2513646048253,421.1224203912062
2.0000000000000013,-0.0476145640592,0.220530015618,14.1916884095,0.0693841133903,6.25466142714,0.0,0.103755496247,0.505338116452,3.72571367979,0.0402943904591,0.0119758305825,0.0,434.53855378564884,434.82507660107575,434.48026439415287,434.4765927008316
2.0200000000000014,-0.0454682743556,0.230809464998,14.2667294693,0.0702084414638,6.25490095189,0.0,0.110873474115,0.522606821549,3.77839230351,0.0463673245604,0.0118482253325,0.0,468.5168546693685,468.48695778101023,466.95217570354964,468.3720743411866
2.0400000000000014,-0.0431966139144,0.241395674927,14.342246042,0.071147481908,6.2551442686,0.0,0.116292570008,0.536014171299,3.77326496614,0.0512034289928,0.00828390187176,0.0,413.9844333377574,413.04229220461366,413.4322945087096,414.7101699901635
2.0600000000000014,-0.0408053285868,0.252281480089,14.4180763712,0.0721818112271,6.25530994706,0.0,0.122835962756,0.552566344912,3.80976794994,0.0557334928477,0.0082548962673,0.0,453.6242387954801,453.6171306546845,453.4459389272861,454.53804651949787
